,geneID,gene_symbol,gene_name,gene_other_symbol,gene_synonyms
11391,283209,PGM2L1,phosphoglucomutase 2 like 1,"BM32A, PMMLP","glucose 1,6-bisphosphate synthase"
11392,283212,KLHL35,kelch like family member 35,None,kelch-like protein 35|kelch-like 35
11393,348751,FTCDNL1,formiminotransferase cyclodeaminase N-terminal like,FONG,formiminotransferase N-terminal subdomain-containing protein|formiminotransferase N-terminal sub-domain containing|formiminotransferase-cyclodeaminase N-terminal-like protein
11394,283219,KCTD21,potassium channel tetramerization domain containing 21,KCASH2,BTB/POZ domain-containing protein KCTD21|potassium channel tetramerisation domain containing 21|potassium channel tetramerization domain-containing protein 21
11395,86614,HSFY1,heat shock transcription factor Y-linked 1,"HSF2L, HSFY","heat shock transcription factor, Y-linked|heat shock transcription factor 2-like protein"
11396,283229,CRACR2B,calcium release activated channel regulator 2B,EFCAB4A,EF-hand calcium-binding domain-containing protein 4A|CRAC channel regulator 2B|CRAC regulator 2B|Ca2+ release-activated Ca2+ (CRAC) channel regulator 2B|EF-hand calcium binding domain 4A|calcium release-activated calcium channel regulator 2B
11397,414301,DDI1,DNA damage inducible 1 homolog 1,None,"protein DDI1 homolog 1|DDI1, DNA-damage inducible 1, homolog 1|DNA-damage inducible protein 1"
11398,283232,TMEM80,transmembrane protein 80,None,transmembrane protein 80
11399,283234,CCDC88B,coiled-coil domain containing 88B,"BRLZ, CCDC88, HKRP3, gipie",coiled-coil domain-containing protein 88B|78 kDa glucose-regulated protein [GRP78]-interacting protein induced by ER stress|GRP78-interacting protein induced by ER stress|brain leucine zipper domain-containing protein|brain leucine zipper protein|coiled-coil domain containing 88|hook-related protein 3
11400,283237,TTC9C,tetratricopeptide repeat domain 9C,None,tetratricopeptide repeat protein 9C|TPR repeat protein 9C
11401,283238,SLC22A24,solute carrier family 22 member 24,NET46,solute carrier family 22 member 24
11402,414316,COL5A1-AS1,COL5A1 antisense RNA 1,"C9orf104, bA54A22.4",COL5A1 antisense RNA 1 (non-protein coding)
11403,283248,RCOR2,REST corepressor 2,None,REST corepressor 2
11404,283254,HARBI1,harbinger transposase derived 1,C11orf77,putative nuclease HARBI1|harbinger transposase-derived nuclease
11405,414328,IDNK,"IDNK, gluconokinase","C9orf103, bA522I20.2, hGntK","probable gluconokinase|glucokinase-like protein|gluconate kinase|gluconokinase-like protein|idnK, gluconokinase homolog"
11406,152185,SPICE1,spindle and centriole associated protein 1,"CCDC52, SPICE",spindle and centriole-associated protein 1|coiled-coil domain-containing protein 52
11407,348793,WDR53,WD repeat domain 53,None,"WD repeat-containing protein 53|WD domain, G-beta repeat-containing protein"
11408,152189,CMTM8,CKLF like MARVEL transmembrane domain containing 8,"CKLFSF8, CKLFSF8-V2",CKLF-like MARVEL transmembrane domain-containing protein 8|chemokine-like factor superfamily member 8
11409,348801,LNP1,leukemia NUP98 fusion partner 1,NP3,leukemia NUP98 fusion partner 1
11410,283267,LINC00294,long intergenic non-protein coding RNA 294,NCRNA00294,None
11411,152195,NUDT16P1,nudix hydrolase 16 pseudogene 1,NUDT16P,nudix (nucleoside diphosphate linked moiety X)-type motif 16 pseudogene 1|nudix-type motif 16 pseudogene
11412,100160140,Crop,cisplatin resistance-associated overexpressed protein,None,cisplatin resistance-associated overexpressed protein
11413,152206,CCDC13,coiled-coil domain containing 13,None,coiled-coil domain-containing protein 13
11414,283284,IGSF22,immunoglobulin superfamily member 22,IGFN2,immunoglobulin superfamily member 22
11415,101929623,LINC01215,long intergenic non-protein coding RNA 1215,None,None
11416,348825,TPRXL,tetrapeptide repeat homeobox like,TPRX3P,tetra-peptide repeat homeobox-like
11417,152217,NCBP2-AS2,NCBP2 antisense RNA 2 (head to head),None,uncharacterized protein NCBP2-AS2|NCBP2 antisense gene protein 2
11418,283298,OLFML1,olfactomedin like 1,UNQ564,olfactomedin-like protein 1|MVAL564
11419,283303,MRGPRG-AS1,MRGPRG antisense RNA 1,"C11orf36, HSD-40",MRGPRG antisense RNA 1 (non-protein coding)
11420,283314,C1RL-AS1,C1RL antisense RNA 1,MATL2963,ABC12-49244600F4.3|C1RL antisense RNA 1 (non-protein coding)
11421,283316,CD163L1,CD163 molecule like 1,"CD163B, M160, SCARI2, WC1",scavenger receptor cysteine-rich type 1 protein M160|CD163 antigen B|CD163 antigen-like 1
11422,414402,SIAHBP1,fuse-binding protein-interacting repressor SIAHBP1,None,None
11423,152273,FGD5,"FYVE, RhoGEF and PH domain containing 5",ZFYVE23,"FYVE, RhoGEF and PH domain-containing protein 5|zinc finger FYVE domain-containing protein 23"
11424,283349,RASSF3,Ras association domain family member 3,RASSF5,ras association domain-containing protein 3|Ras association (RalGDS/AF-6) domain family 3|Ras association (RalGDS/AF-6) domain family member 3
11425,283358,B4GALNT3,"beta-1,4-N-acetyl-galactosaminyltransferase 3",None,"beta-1,4-N-acetylgalactosaminyltransferase 3|B4GalNAcT3|Beta4GalNAc-T3|N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N- acetylgalactosaminyltransferase|N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 2|NGalNAc-T2|beta-1,4-N-acetyl-galactosaminyl transferase 3|beta-1,4-N-acetylgalactosaminyltransferase III|beta4GalNAcT3"
11426,283365,OR6C6,olfactory receptor family 6 subfamily C member 6,None,olfactory receptor 6C6
11427,283373,ANKRD52,ankyrin repeat domain 52,ANKRD33,serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C|CVWG5837|PP6-ARS-C|ankyrin repeat domain 33|ankyrin repeat domain-containing protein 52|protein phosphatase 6 ankyrin repeat subunit C|serine/threonine-protein phosphatase 6 regulatory subunit ARS-C
11428,152302,CIDECP,cell death-inducing DFFA-like effector c pseudogene,CICE,cell death-inducing CIDE-like effector pseudogene
11429,283375,SLC39A5,solute carrier family 39 member 5,"LZT-Hs7, MYP24, ZIP5","zinc transporter ZIP5|solute carrier family 39 (metal ion transporter), member 5|solute carrier family 39 (zinc transporter), member 5|zrt- and Irt-like protein 5"
11430,283377,SPRYD4,SPRY domain containing 4,None,SPRY domain-containing protein 4
11431,283383,ADGRD1,adhesion G protein-coupled receptor D1,"GPR133, PGR25",adhesion G-protein coupled receptor D1|G-protein coupled receptor 133|G-protein coupled receptor PGR25|probable G-protein coupled receptor 133
11432,283385,MORN3,MORN repeat containing 3,None,MORN repeat-containing protein 3|membrane occupation and recognition nexus repeat containing protein
11433,283392,TRHDE-AS1,TRHDE antisense RNA 1,None,TRHDE antisense RNA 1 (non-protein coding)
11434,348932,SLC6A18,solute carrier family 6 member 18,Xtrp2,"sodium-dependent neutral amino acid transporter B(0)AT3|sodium channel-like protein|sodium- and chloride-dependent transporter XTRP2|solute carrier family 6 (neurotransmitter transporter), member 18|solute carrier family 6 (neutral amino acid transporter), member 18|system B(0) neutral amino acid transporter AT3"
11435,152330,CNTN4,contactin 4,"AXCAM, BIG-2",contactin-4|axonal-associated cell adhesion molecule|brain-derived immunoglobulin superfamily protein 2|neural cell adhesion protein BIG-2
11436,348938,NIPAL4,NIPA like domain containing 4,"ARCI6, ICHTHYIN, ICHYN",magnesium transporter NIPA4|NIPA-like protein 4|non-imprinted in Prader-Willi/Angelman syndrome region protein 4
11437,283403,C12orf80,chromosome 12 open reading frame 80,None,uncharacterized protein LOC283403
11438,283404,LINC00592,long intergenic non-protein coding RNA 592,None,None
11439,283416,LINC01465,long intergenic non-protein coding RNA 1465,C12orf61,None
11440,283417,DPY19L2,dpy-19 like 2,"SPATA34, SPGF9",probable C-mannosyltransferase DPY19L2|protein dpy-19 homolog 2|spermatogenesis associated 34
11441,283422,LINC01559,long intergenic non-protein coding RNA 1559,C12orf36,None
11442,283431,GAS2L3,growth arrest specific 2 like 3,G2L3,GAS2-like protein 3|growth arrest-specific protein 2-like 3
11443,348980,HCN1,hyperpolarization activated cyclic nucleotide gated potassium channel 1,"BCNG-1, BCNG1, EIEE24, HAC-2",potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1|brain cyclic nucleotide-gated channel 1
11444,283450,HECTD4,HECT domain E3 ubiquitin protein ligase 4,"C12ord51, C12orf51, HEEL, POTAGE",probable E3 ubiquitin-protein ligase HECTD4|AF-1 specific protein phosphatase|HECT domain containing E3 ubiquitin protein ligase 4|HECT domain-containing protein 4|HECT-type E3 ubiquitin transferase HECTD4|probable E3 ubiquitin-protein ligase C12orf51|transmembrane protein C12orf51
11445,283455,KSR2,kinase suppressor of ras 2,None,kinase suppressor of Ras 2
11446,283458,NME2P1,NME/NM23 nucleoside diphosphate kinase 2 pseudogene 1,None,"non-metastatic cells 2, protein (NM23B) expressed in, pseudogene 1|nucleoside diphosphate kinase B-like pseudogene"
11447,348995,NUP43,nucleoporin 43,"bA350J20.1, p42",nucleoporin Nup43|nucleoporin 43kDa|nup107-160 subcomplex subunit Nup43
11448,283460,HNF1A-AS1,HNF1A antisense RNA 1,"C12orf27, HAS1, NCRNA00262",HNF1A antisense RNA 1 (non-protein coding)
11449,283459,GATC,glutamyl-tRNA amidotransferase subunit C,15E1.2,"glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial|glu-AdT subunit C|glutamyl-tRNA(Gln) amidotransferase, subunit C homolog"
11450,283463,MUC19,"mucin 19, oligomeric",MUC-19,mucin-19
11451,283464,GXYLT1,glucoside xylosyltransferase 1,GLT8D3,glucoside xylosyltransferase 1|glycosyltransferase 8 domain containing 3|glycosyltransferase 8 domain-containing protein 3
11452,152404,IGSF11,immunoglobulin superfamily member 11,"BT-IgSF, CT119, CXADRL1, Igsf13, VSIG3",immunoglobulin superfamily member 11|CXADR like 1|V-set and immunoglobulin domain containing 3|V-set and immunoglobulin domain-containing protein 3|brain and testis-specific immunoglobin superfamily protein|brain and testis-specific immunoglobulin superfamily protein|cancer/testis antigen 119
11453,152405,C3orf30,chromosome 3 open reading frame 30,TSCPA,"uncharacterized protein C3orf30|Testis-specific conserved, cAMP-dependent type II PK anchoring protein"
11454,283481,FGF14-AS2,FGF14 antisense RNA 2,None,None
11455,283487,LINC00346,long intergenic non-protein coding RNA 346,"C13orf29, NCRNA00346",None
11456,283489,CHAMP1,chromosome alignment maintaining phosphoprotein 1,"C13orf8, CAMP, CHAMP, MRD40, ZNF828",chromosome alignment-maintaining phosphoprotein 1|zinc finger protein 828
11457,283491,OR7E156P,olfactory receptor family 7 subfamily E member 156 pseudogene,None,None
11458,283507,SUGT1P3,SUGT1 pseudogene 3,SUGT1L1,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone pseudogene 3|SGT1, suppressor of G2 allele of SKP1 like 1|suppressor of G2 allele of SKP1 pseudogene 3"
11459,283518,KCNRG,potassium channel regulator,DLTET,potassium channel regulatory protein|putative potassium channel regulatory protein
11460,100750225,PCAT1,prostate cancer associated transcript 1,"PCA1, PCAT-1",prostate cancer associated transcript 1 (non-protein coding)
11461,283537,SLC46A3,solute carrier family 46 member 3,FKSG16,solute carrier family 46 member 3
11462,349075,ZNF713,zinc finger protein 713,None,zinc finger protein 713
11463,21402,Skp1a,S-phase kinase-associated protein 1A,"15kDa, 2610043E24Rik, 2610206H23Rik, EMC19, OCP-II, OCP2, SKP1, Tceb1l, p19A, p19Skp1",S-phase kinase-associated protein 1|cyclin-A/CDK2-associated protein p19
11464,283551,LINC01588,long intergenic non-protein coding RNA 1588,C14orf182,None
11465,283554,GPR137C,G protein-coupled receptor 137C,TM7SF1L2,integral membrane protein GPR137C|G protein-coupled receptor TM7SF1L2|transmembrane 7 superfamily member 1-like 2 protein
11466,152485,ZNF827,zinc finger protein 827,None,zinc finger protein 827
11467,283571,PROX2,prospero homeobox 2,PROX-2,prospero homeobox protein 2|homeobox prospero-like protein PROX2
11468,152503,SH3D19,SH3 domain containing 19,"EBP, EVE1, Eve-1, Kryn, SH3P19",SH3 domain-containing protein 19|ADAM-binding protein Eve-1|EEN-binding protein|SH3 domain protein D19
11469,283576,ZDHHC22,zinc finger DHHC-type containing 22,C14orf59,"palmitoyltransferase ZDHHC22|DHHC-22|putative palmitoyltransferase ZDHHC22|zinc finger DHHC domain-containing protein 22|zinc finger, DHHC domain containing 22"
11470,349114,LINC00265,long intergenic non-protein coding RNA 265,NCRNA00265,NCRNA00265-1
11471,283578,TMED8,transmembrane p24 trafficking protein family member 8,FAM15B,"protein TMED8|family with sequence similarity 15, member B|transmembrane emp24 domain containing 8|transmembrane emp24 protein transport domain containing 8"
11472,283579,C14orf178,chromosome 14 open reading frame 178,None,uncharacterized protein C14orf178
11473,283587,LINC01146,long intergenic non-protein coding RNA 1146,None,None
11474,152518,NFXL1,"nuclear transcription factor, X-box binding like 1","CDZFP, HOZFP, OZFP, URCC5",NF-X1-type zinc finger protein NFXL1|cytoplasm-distribution zinc finger protein|ovarian zinc finger protein|up-regulated in colon cancer 5
11475,152519,NIPAL1,NIPA like domain containing 1,NPAL1,magnesium transporter NIPA3|NIPA-like protein 1|non-imprinted in Prader-Willi/Angelman syndrome region protein 3
11476,283592,FAM181A-AS1,FAM181A antisense RNA 1,C14orf86,FAM181A antisense RNA 1 (non-protein coding)
11477,283596,SNHG10,small nucleolar RNA host gene 10,"C14orf62, LINC00063, NCRNA00063",long intergenic non-protein coding RNA 63|small nucleolar RNA host gene 10 (non-protein coding)
11478,283600,SLC25A47,solute carrier family 25 member 47,"C14orf68, HDMCP, HMFN1655",solute carrier family 25 member 47|HCC-down-regulated mitochondrial carrier protein|hepatocellular carcinoma down-regulated mitochondrial carrier protein|hepatocellular carcinoma-downregulated mitochondrial carrier protein
11479,349149,GJC3,gap junction protein gamma 3,"CX29, CX30.2, CX31.3, GJE1","gap junction gamma-3 protein|connexin 29|connexin-30.2|connexin-31.3|gap junction epsilon-1 protein|gap junction protein, gamma 3, 30.2kDa"
11480,349152,DPY19L2P2,DPY19L2 pseudogene 2,None,Dpy-19-like protein 2 pseudogene 2|Protein dpy-19 homolog 2-like 2|Putative C-mannosyltransferase DPY19L2P2|dpy-19-like 2 pseudogene 2
11481,283629,TSSK4,testis specific serine kinase 4,"C14orf20, STK22E, TSK-4, TSK4, TSSK5",testis-specific serine/threonine-protein kinase 4|serine/threonine kinase 22E|serine/threonine-protein kinase 22E
11482,152559,PAQR3,progestin and adipoQ receptor family member 3,RKTG,progestin and adipoQ receptor family member 3|Raf kinase trapping to Golgi|progestin and adipoQ receptor family member III
11483,283635,FAM177A1,family with sequence similarity 177 member A1,C14orf24,protein FAM177A1
11484,100422644,SERPINA7P1,serpin family A member 7 pseudogene 1,None,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 7 pseudogene 1"
11485,283638,CEP170B,centrosomal protein 170B,"CEP170R, FAM68C, KIAA0284",centrosomal protein of 170 kDa protein B|Cep170-related
11486,283643,TEDC1,tubulin epsilon and delta complex 1,C14orf80,tubulin epsilon and delta complex protein 1|uncharacterized protein C14orf80
11487,152573,SHISA3,shisa family member 3,hShisa3,protein shisa-3 homolog|shisa homolog 3
11488,152579,SCFD2,sec1 family domain containing 2,STXBP1L1,sec1 family domain-containing protein 2|syntaxin binding protein 1-like 1
11489,283652,SLC24A5,solute carrier family 24 member 5,"JSX, NCKX5, OCA6, SHEP4","sodium/potassium/calcium exchanger 5|Na(+)/K(+)/Ca(2+)-exchange protein 5|ion transporter JSX|oculocutaneous albinism 6 (autosomal recessive)|solute carrier family 24 (sodium/potassium/calcium exchanger), member 5"
11490,283651,HMGN2P46,high mobility group nucleosomal binding domain 2 pseudogene 46,"C15orf21, D-PCa-2",Dresden prostate cancer 2|Dresden prostate carcinoma 2
11491,283659,PRTG,protogenin,IGDCC5,"protogenin|immunoglobulin superfamily, DCC subclass, member 5|protogenin homolog (Gallus gallus)|shen-dan"
11492,349196,LINC00965,long intergenic non-protein coding RNA 965,None,None
11493,283673,EWSAT1,Ewing sarcoma associated transcript 1,"LINC00277, NCRNA00277, TMEM84",long intergenic non-protein coding RNA 277|testicular tissue protein Li 207|transmembrane protein 84
11494,283685,GOLGA6L2,golgin A6 family-like 2,CT105,"golgin subfamily A member 6-like protein 2|cancer/testis antigen 105|golgi autoantigen, golgin subfamily a, 6-like 2"
11495,283687,ST20-AS1,ST20 antisense RNA 1,C15orf37,None
11496,283694,OR4N4,olfactory receptor family 4 subfamily N member 4,"OR15-1, OR15-5",olfactory receptor 4N4|olfactory receptor OR15-1|olfactory receptor OR15-5
11497,414777,HCG18,HLA complex group 18,None,HLA complex group 18 (non-protein coding)
11498,152641,WWC2-AS2,WWC2 antisense RNA 2,C4orf38,WWC2 antisense RNA 2 (non-protein coding)
11499,21577,Tcrb,T cell receptor beta chain,"TCRbeta, Tib",None
11500,21580,Tcrb-J,"T cell receptor beta, joining region",5830405F06Rik,None
11501,283742,FAM98B,family with sequence similarity 98 member B,None,protein FAM98B
11502,283748,PLA2G4D,phospholipase A2 group IVD,cPLA2delta,"cytosolic phospholipase A2 delta|cPLA2-delta|phospholipase A2 delta, cytosolic|phospholipase A2, group IVD (cytosolic)"
11503,4296,MAP3K11,mitogen-activated protein kinase kinase kinase 11,"MEKK11, MLK-3, MLK3, PTK1, SPRK",mitogen-activated protein kinase kinase kinase 11|SH3 domain-containing proline-rich kinase|mixed lineage kinase 3|protein-tyrosine kinase PTK1|src-homology 3 domain-containing proline-rich kinase
11504,283767,GOLGA6L1,golgin A6 family-like 1,None,"golgin subfamily A member 6-like protein 1|golgi autoantigen, golgin subfamily a, 6-like 1"
11505,283768,GOLGA8G,golgin A8 family member G,GOLGA8F,"putative golgin subfamily A member 8F/8G|golgi autoantigen, golgin subfamily a, 8G"
11506,283777,FAM169B,family with sequence similarity 169 member B,None,protein FAM169B
11507,87178,PNPT1,polyribonucleotide nucleotidyltransferase 1,"COXPD13, DFNB70, OLD35, PNPASE, old-35","polyribonucleotide nucleotidyltransferase 1, mitochondrial|3'-5' RNA exonuclease OLD35|PNPase 1|PNPase old-35|polynucleotide phosphorylase 1|polynucleotide phosphorylase-like protein"
11508,283796,GOLGA8IP,"golgin A8 family member I, pseudogene","GOLGA8I, GOLGA9P","golgi autoantigen, golgin subfamily a, 9 pseudogene|golgin A8 family, member I|golgin A9 (pseudogene)"
11509,283807,FBXL22,F-box and leucine rich repeat protein 22,Fbl22,F-box and leucine-rich protein 22|F-box/LRR-repeat protein 22
11510,100422821,MIR1273C,microRNA 1273c,None,hsa-mir-1273c
11511,414886,SPG27,spastic paraplegia 27 (autosomal recessive),None,None
11512,283820,NOMO2,NODAL modulator 2,"Nomo, PM5","nodal modulator 2|pM5 protein 2|pM5 protein, centromeric copy"
11513,100422832,MIR3191,microRNA 3191,mir-3191,hsa-mir-3191
11514,414899,BLID,"BH3-like motif containing, cell death inducer",BRCC2,BH3-like motif-containing cell death inducer|breast cancer cell 2|breast cancer cell protein 2
11515,152756,FAM218A,family with sequence similarity 218 member A,C4orf39,protein FAM218A|uncharacterized protein C4orf39
11516,100422838,MIR3195,microRNA 3195,None,hsa-mir-3195
11517,100422842,MIR3074,microRNA 3074,mir-3074,hsa-mir-3074
11518,100422847,MIR514B,microRNA 514b,mir-514b,hsa-mir-514b
11519,100422850,MIR548V,microRNA 548v,None,hsa-mir-548v
11520,414919,C8orf82,chromosome 8 open reading frame 82,None,UPF0598 protein C8orf82
11521,283848,CES4A,carboxylesterase 4A,"CES6, CES8",carboxylesterase 4A|carboxylesterase 6|carboxylesterase 8 (putative)
11522,283849,EXOC3L1,exocyst complex component 3 like 1,EXOC3L,exocyst complex component 3-like protein|protein Jiangli
11523,100422867,MIR378C,microRNA 378c,mir-378c,hsa-mir-378c
11524,283860,LINC00304,long intergenic non-protein coding RNA 304,"C16orf81, NCRNA00304",None
11525,152789,JAKMIP1,janus kinase and microtubule interacting protein 1,"Gababrbp, JAMIP1, MARLIN1",janus kinase and microtubule-interacting protein 1|GABA-B receptor-binding protein|Jak and microtubule interacting protein 1|marlin-1|multiple alpha-helices and RNA-linker protein 1|multiple coiled-coil GABABR1-binding protein
11526,100422869,MIR3152,microRNA 3152,None,hsa-mir-3152
11527,283869,NPW,neuropeptide W,"L8, L8C, PPL8, PPNPW",neuropeptide W|hPPL8|prepro-neuropeptide W|preproprotein L8
11528,283871,PGP,phosphoglycolate phosphatase,"AUM, G3PP, PGPase",glycerol-3-phosphate phosphatase|aspartate-based ubiquitous Mg(2+)-dependent phosphatase
11529,283876,LINC00921,long intergenic non-protein coding RNA 921,None,None
11530,100422889,MIR3194,microRNA 3194,mir-3194,hsa-mir-3194
11531,100422891,MIR4327,microRNA 4327,None,hsa-mir-4327
11532,152815,THAP6,THAP domain containing 6,None,THAP domain-containing protein 6
11533,152816,ODAPH,odontogenesis associated phosphoprotein,"AI2A4, C4orf26",odontogenesis associated phosphoprotein|amelogenesis imperfecta type IIA4|uncharacterized protein C4orf26
11534,100422897,MIR4302,microRNA 4302,None,hsa-mir-4302
11535,283897,C16orf54,chromosome 16 open reading frame 54,None,transmembrane protein C16orf54
11536,283899,INO80E,INO80 complex subunit E,CCDC95,INO80 complex subunit E|coiled-coil domain containing 95|coiled-coil domain-containing protein 95
11537,100422910,MIR2861,microRNA 2861,"BMND15, MIRN2861",hsa-mir-2861
11538,152831,KLB,klotho beta,BKL,beta-klotho|b-Klotho|betaKlotho|klotho beta like|klotho beta-like protein
11539,100422914,MIR4253,microRNA 4253,None,hsa-mir-4253
11540,100422915,MIR3065,microRNA 3065,mir-3065,hsa-mir-3065
11541,283914,LINC01566,long intergenic non-protein coding RNA 1566,None,None
11542,100422933,MIR378B,microRNA 378b,None,hsa-mir-378b
11543,283927,NUDT7,nudix hydrolase 7,None,peroxisomal coenzyme A diphosphatase NUDT7|nudix (nucleoside diphosphate linked moiety X)-type motif 7
11544,283932,FBXL19-AS1,FBXL19 antisense RNA 1,NCRNA00095,FBXL19 antisense RNA 1 (head to head)|FBXL19 antisense RNA 1 (non-protein coding)
11545,100422951,MIR3144,microRNA 3144,mir-3144,hsa-mir-3144
11546,100422952,MIR4271,microRNA 4271,None,hsa-mir-4271
11547,152877,FAM53A,family with sequence similarity 53 member A,DNTNP,protein FAM53A|dorsal neural-tube nuclear protein
11548,283951,C16orf91,chromosome 16 open reading frame 91,"CCSMST1, URLC5, gs103",protein CCSMST1|cattle cerebrum and skeletal muscle-specific protein 1 family member|up-regulated in lung cancer 5
11549,100422962,MIR4281,microRNA 4281,None,hsa-mir-4281
11550,283970,PDXDC2P-NPIPB14P,nuclear pore complex-interacting protein,None,"pyridoxal dependent decarboxylase domain containing 2, pseudogene"
11551,100422982,MIR4286,microRNA 4286,mir-4286,hsa-mir-4286
11552,100422991,MIR1260B,microRNA 1260b,mir-1260b,hsa-mir-1260b
11553,283985,FADS6,fatty acid desaturase 6,FP18279,"fatty acid desaturase 6|fatty acid desaturase domain family, member 6"
11554,100422994,MIR4267,microRNA 4267,None,hsa-mir-4267
11555,283987,HID1,HID1 domain containing,"17orf28, C17orf28, DMC1, HID-1",protein HID1|HID1 domain-containing protein|UPF0663 transmembrane protein C17orf28|down-regulated in multiple cancers 1|downregulated in multiple cancer 1|protein hid-1 homolog
11556,283989,TSEN54,tRNA splicing endonuclease subunit 54,"PCH2A, PCH4, PCH5, SEN54L, sen54",tRNA-splicing endonuclease subunit Sen54|SEN54 homolog|TSEN54 tRNA splicing endonuclease subunit|hsSen54|tRNA-intron endonuclease Sen54
11557,283991,UBALD2,UBA like domain containing 2,FAM100B,"UBA-like domain-containing protein 2|family with sequence similarity 100, member B|protein FAM100B"
11558,152926,PPM1K,"protein phosphatase, Mg2+/Mn2+ dependent 1K","BDP, MSUDMV, PP2Ckappa, PP2Cm, PTMP, UG0882E07","protein phosphatase 1K, mitochondrial|PP2C domain-containing protein phosphatase 1K|PP2C-kappa|PP2C-type mitochondrial phosphoprotein phosphatase|branched-chain I+/--ketoacid dehydrogenase phosphatase|branched-chain alpha-ketoacid dehydrogenase phosphatase|protein phosphatase 2C kappa"
11559,284004,HEXDC,hexosaminidase D,None,"hexosaminidase D|N-acetyl-beta-galactosaminidase|beta-N-acetylhexosaminidase|beta-hexosaminidase D|hexosaminidase (glycosyl hydrolase family 20, catalytic domain) containing|hexosaminidase D, cytosolic|hexosaminidase domain-containing protein"
11560,100423020,MIR4258,microRNA 4258,None,hsa-mir-4258
11561,284013,VMO1,vitelline membrane outer layer 1 homolog,"ERGA6350, PRO21055",vitelline membrane outer layer protein 1 homolog
11562,100423021,MIR4298,microRNA 4298,None,hsa-mir-4298
11563,100423025,MIR3198-1,microRNA 3198-1,"MIR3198, mir-3198-1",hsa-mir-3198|hsa-mir-3198-1|microRNA 3198
11564,100423026,MIR4299,microRNA 4299,None,hsa-mir-4299
11565,284018,C17orf58,chromosome 17 open reading frame 58,None,UPF0450 protein C17orf58
11566,284021,MILR1,mast cell immunoglobulin like receptor 1,"Allergin-1, C17orf60, MCA-32, MCA32",allergin-1|allergy inhibitory receptor 1|mast cell antigen 32|probable mast cell antigen 32 homolog
11567,349565,NMNAT3,nicotinamide nucleotide adenylyltransferase 3,"FKSG76, PNAT-3, PNAT3",nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3|NMN adenylyltransferase 3|NMN/NaMN adenylyltransferase 3|NaMN adenylyltransferase 3|nicotinamide mononucleotide adenylyltransferase 3|nicotinate-nucleotide adenylyltransferase 3|pyridine nucleotide adenylyltransferase 3
11568,284029,LINC00324,long intergenic non-protein coding RNA 324,"C17orf44, NCRNA00324",None
11569,284034,LINC00670,long intergenic non-protein coding RNA 670,None,None
11570,284040,CDRT4,CMT1A duplicated region transcript 4,None,CMT1A duplicated region transcript 4 protein
11571,415116,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase",pim-3,serine/threonine-protein kinase pim-3|pim-3 oncogene|serine/threonine kinase Pim-3
11572,415117,STX19,syntaxin 19,None,syntaxin-19
11573,284047,CCDC144B,coiled-coil domain containing 144B (pseudogene),None,coiled-coil domain-containing protein 144B
11574,284058,KANSL1,KAT8 regulatory NSL complex subunit 1,"CENP-36, KDVS, KIAA1267, MSL1v1, NSL1, hMSL1v1",KAT8 regulatory NSL complex subunit 1|MLL1/MLL complex subunit KANSL1|MSL1 homolog 1|NSL complex protein NSL1|centromere protein 36|male-specific lethal 1 homolog|non-specific lethal 1 homolog
11575,152992,TRMT44,tRNA methyltransferase 44 homolog,"C4orf23, METTL19, TRM44",probable tRNA (uracil-O(2)-)-methyltransferase|methyltransferase like 19|methyltransferase-like protein 19
11576,284067,CFAP97D1,CFAP97 domain containing 1,C17orf105,uncharacterized protein CFAP97D1|uncharacterized protein C17orf105|CFAP97 domain-containing protein 1
11577,284069,FAM171A2,family with sequence similarity 171 member A2,None,protein FAM171A2
11578,284071,MEIOC,meiosis specific with coiled-coil domain,C17orf104,meiosis-specific coiled-coil domain-containing protein MEIOC|meiosis-specific with coiled-coil domain protein
11579,284076,TTLL6,tubulin tyrosine ligase like 6,TTL.6,tubulin polyglutamylase TTLL6|tubulin tyrosine ligase-like family member 6|tubulin--tyrosine ligase-like protein 6
11580,284083,C17orf47,chromosome 17 open reading frame 47,None,uncharacterized protein C17orf47
11581,284085,KRT18P55,keratin 18 pseudogene 55,None,None
11582,284086,NEK8,NIMA related kinase 8,"JCK, NEK12A, NPHP9, RHPD2",serine/threonine-protein kinase Nek8|NIMA (never in mitosis gene a)- related kinase 8|NIMA-family kinase NEK8|NIMA-related kinase 12a|nephrocystin 9|never in mitosis A-related kinase 8|nimA-related protein kinase 8|nima-related protein kinase 12a|serine/thrionine-protein kinase NEK8
11583,153020,RASGEF1B,RasGEF domain family member 1B,GPIG4,ras-GEF domain-containing family member 1B|GPI gamma-4
11584,349633,PLET1,placenta expressed transcript 1,C11orf34,placenta-expressed transcript 1 protein
